,hPos,aPos,unixTime,Distance
431,"{'x': -0.006110840942710638, 'y': -0.025001930072903633, 'z': 0.0350467786192894}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088293875,0.5693187131231614
432,"{'x': -0.0070755938068032265, 'y': -0.024998914450407028, 'z': 0.03418856859207153}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088293976,0.5701691730672879
433,"{'x': -0.007954270578920841, 'y': -0.024211406707763672, 'z': 0.03381800651550293}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088294076,0.5705041242779353
434,"{'x': -0.009028937667608261, 'y': -0.023236284032464027, 'z': 0.03396490216255188}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088294175,0.5703170129831489
435,"{'x': -0.010870005004107952, 'y': -0.021904826164245605, 'z': 0.034077852964401245}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088294281,0.5701550207082389
436,"{'x': -0.01547960378229618, 'y': -0.019644426181912422, 'z': 0.03447914123535156}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088294386,0.5697017962913697
437,"{'x': -0.016264379024505615, 'y': -0.0194215290248394, 'z': 0.0379929393529892}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088294476,0.5661902100887078
438,"{'x': -0.013074042275547981, 'y': -0.02227024734020233, 'z': 0.04051126539707184}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088294586,0.5637430049226926
439,"{'x': -0.010151058435440063, 'y': -0.023073380813002586, 'z': 0.041995368897914886}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088294676,0.5622837651058724
440,"{'x': -0.00886337086558342, 'y': -0.022662397474050522, 'z': 0.04239998757839203}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088294781,0.5618672851514397
441,"{'x': -0.008677287958562374, 'y': -0.022689832374453545, 'z': 0.042375348508358}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088294875,0.5618935271450389
442,"{'x': -0.008224805817008018, 'y': -0.02361314930021763, 'z': 0.04136461764574051}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088294976,0.5629391714482657
443,"{'x': -0.007622035685926676, 'y': -0.023372910916805267, 'z': 0.040267542004585266}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088295086,0.564029518035682
444,"{'x': -0.006594495847821236, 'y': -0.023540886119008064, 'z': 0.0398947075009346}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088295186,0.5644148380805384
445,"{'x': -0.008024947717785835, 'y': -0.023945078253746033, 'z': 0.0390685573220253}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088295275,0.5652469762204749
446,"{'x': -0.007099667564034462, 'y': -0.02331133745610714, 'z': 0.04143492132425308}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088295385,0.5628637725127748
447,"{'x': -0.006952831521630287, 'y': -0.022905880585312843, 'z': 0.04510059207677841}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088295475,0.5591867520903404
448,"{'x': -0.008777342736721039, 'y': -0.022643787786364555, 'z': 0.04986032098531723}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088295596,0.5544114459479552
449,"{'x': -0.012390421703457832, 'y': -0.022105451673269272, 'z': 0.055058978497982025}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088295675,0.5491961239488969
